date_and_time (Server is UTC0)	log_who_short_name	http_code	responds_time (s)	responds_size (bytes)	log_who
2018-01-23 03:40:34	getobservationswithinradius	200	0.972945	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 03:23:25	getobservationswithinradius	200	0.192733	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 03:10:28	getobservationswithinradius	200	0.779494	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 02:53:18	getobservationswithinradius	200	0.595799	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 02:38:21	getobservationswithinradius	200	0.238196	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 02:23:20	getobservationswithinradius	200	0.854535	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 02:10:27	getobservationswithinradius	200	0.579839	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 01:53:28	getobservationswithinradius	200	0.981005	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 01:40:37	getobservationswithinradius	200	0.998683	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 01:23:33	getobservationswithinradius	200	0.627947	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 01:10:31	getobservationswithinradius	200	0.873583	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 00:53:28	getobservationswithinradius	200	0.000832	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 00:40:29	getobservationswithinradius	200	0.669215	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 00:23:23	getobservationswithinradius	200	0.413863	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-23 00:10:37	getobservationswithinradius	200	0.259094	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 23:53:19	getobservationswithinradius	200	0.925216	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 23:38:18	getobservationswithinradius	200	0.101586	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 23:23:19	getobservationswithinradius	200	0.724816	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 23:08:26	getobservationswithinradius	200	0.267213	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 22:53:23	getobservationswithinradius	200	0.033016	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 22:38:27	getobservationswithinradius	200	0.386868	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 22:23:23	getobservationswithinradius	200	0.757301	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 22:08:25	getobservationswithinradius	200	0.301097	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 21:53:15	getobservationswithinradius	200	0.964061	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 21:38:29	getobservationswithinradius	200	0.711094	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 21:23:24	getobservationswithinradius	200	0.575459	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 21:08:25	getobservationswithinradius	200	0.880025	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 20:53:29	getobservationswithinradius	200	0.21625	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 20:38:37	getobservationswithinradius	200	0.604194	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 20:23:23	getobservationswithinradius	200	0.915583	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 20:08:30	getobservationswithinradius	200	0.043837	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 19:53:26	getobservationswithinradius	200	0.461882	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 19:38:39	getobservationswithinradius	200	0.56515	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 19:23:25	getobservationswithinradius	200	0.166505	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 19:08:26	getobservationswithinradius	200	0.552284	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 18:53:22	getobservationswithinradius	200	0.737732	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
2018-01-22 18:38:29	getobservationswithinradius	200	0.626314	146405	https://api.nve.no/hydrology/regobs/webapi_v3.2.0/Observations/GetObservationsWithinRadius?latitude=59.844226&longitude=10.42702&range=100000&geohazardId=70&$format=JSON
