date_and_time	parameter	http_code	responds_time	days_requested	days_received
2018-01-22 18:23:06	sdfsw	200	0.515169	21	21
2018-01-22 18:08:10	sd	200	0.394811	21	21
2018-01-22 18:08:09	sdfsw	200	0.577889	21	21
2018-01-22 18:08:09	tm	200	0.385053	21	21
2018-01-22 17:53:06	sd	200	0.395797	21	21
2018-01-22 17:53:05	sdfsw	200	0.482619	21	21
2018-01-22 17:53:05	tm	200	0.406783	21	21
2018-01-22 17:38:08	tm	200	0.391764	21	21
2018-01-22 17:38:08	sd	200	0.388421	21	21
2018-01-22 17:38:07	sdfsw	200	0.520827	21	21
2018-01-22 17:23:08	tm	200	0.388799	21	21
2018-01-22 17:23:08	sd	200	0.389462	21	21
2018-01-22 17:23:07	sdfsw	200	0.541312	21	21
2018-01-22 17:08:09	sd	200	0.38818	21	21
2018-01-22 17:08:08	sdfsw	200	0.505072	21	21
2018-01-22 17:08:08	tm	200	0.387133	21	21
2018-01-22 16:53:06	tm	200	0.40412	21	21
2018-01-22 16:53:06	sd	200	0.43219	21	21
2018-01-22 16:53:05	sdfsw	200	0.582151	21	21
2018-01-22 16:38:08	tm	200	0.380268	21	21
2018-01-22 16:38:08	sd	200	0.387668	21	21
2018-01-22 16:38:07	sdfsw	200	0.503637	21	21
2018-01-22 16:23:16	sd	200	0.387324	21	21
2018-01-22 16:23:15	sdfsw	200	0.554077	21	21
2018-01-22 16:23:15	tm	200	0.382075	21	21
2018-01-22 16:08:10	sd	200	0.61474	21	21
2018-01-22 16:08:09	sdfsw	200	0.597332	21	21
2018-01-22 16:08:09	tm	200	0.401214	21	21
2018-01-22 15:53:16	sd	200	0.574937	21	21
2018-01-22 15:53:15	tm	200	0.415001	21	21
2018-01-22 15:53:14	sdfsw	200	0.634254	21	21
2018-01-22 15:38:17	tm	200	0.386066	21	21
2018-01-22 15:38:17	sd	200	0.396088	21	21
2018-01-22 15:38:15	sdfsw	200	0.550407	21	21
2018-01-22 15:23:06	tm	200	0.401894	21	21
2018-01-22 15:23:06	sd	200	0.406465	21	21
2018-01-22 15:23:05	sdfsw	200	0.438567	21	21
2018-01-22 15:08:09	tm	200	0.398609	21	21
2018-01-22 15:08:09	sd	200	0.437406	21	21
2018-01-22 15:08:08	sdfsw	200	0.458435	21	21
2018-01-22 14:53:06	tm	200	0.407881	21	21
2018-01-22 14:53:06	sd	200	0.395933	21	21
2018-01-22 14:53:05	sdfsw	200	0.511518	21	21
2018-01-22 14:38:09	sd	200	0.399438	21	21
2018-01-22 14:38:08	sdfsw	200	0.479029	21	21
2018-01-22 14:38:08	tm	200	0.448644	21	21
2018-01-22 14:23:06	tm	200	0.391914	21	21
2018-01-22 14:23:06	sd	200	0.383043	21	21
2018-01-22 14:23:05	sdfsw	200	0.476064	21	21
2018-01-22 14:08:06	tm	200	0.393247	21	21
2018-01-22 14:08:06	sd	200	0.399806	21	21
2018-01-22 14:08:05	sdfsw	200	0.493408	21	21
2018-01-22 13:53:06	sd	200	0.39627	21	21
2018-01-22 13:53:05	sdfsw	200	0.553268	21	21
2018-01-22 13:53:05	tm	200	0.415161	21	21
2018-01-22 13:38:06	tm	200	0.514937	21	21
2018-01-22 13:38:06	sd	200	0.415521	21	21
2018-01-22 13:38:05	sdfsw	200	0.462653	21	21
2018-01-22 13:23:05	tm	200	0.454499	21	21
2018-01-22 13:23:05	sd	200	0.399095	21	21
2018-01-22 13:23:04	sdfsw	200	0.449562	21	21
2018-01-22 13:08:13	tm	200	0.392172	21	21
2018-01-22 13:08:13	sd	200	0.408761	21	21
2018-01-22 13:08:12	sdfsw	200	0.608201	21	21
2018-01-22 12:53:06	sdfsw	200	0.477899	21	21
2018-01-22 12:53:06	tm	200	0.401575	21	21
